dev1,when was the last time anyone was on the moon,14 December 1972 UTC,1
dev1,when was the last time anyone was on the moon,December 1972,1
dev2,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,1
dev2,who wrote he ain't heavy he's my brother lyrics,Bob Russell,1
dev3,how many seasons of the bastard executioner are there,one,1
dev3,how many seasons of the bastard executioner are there,one season,1
dev4,when did the eagles win last super bowl,2017,1
dev5,who won last year's ncaa women's basketball,South Carolina,1
dev6,when did the isle of wight become an island,During the last Ice Age,1
dev7,love yourself by justin bieber is about who,Rihanna,1
dev8,who was the ruler of england in 1616,James I,1
dev9,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,1
dev10,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,1
dev11,which state is located in the centre of india,Chhattisgarh,1
dev11,which state is located in the centre of india,Madhya Pradesh,1
dev12,who sang i ran all the way home,The Impalas,1
dev13,where did the last name wallace come from,a Scottish surname,1
dev14,who was the actor that played ben stone on law and order,Michael Moriarty,1
dev15,who does the voice of nala in the lion king,Niketa Calame,1
dev15,who does the voice of nala in the lion king,Sally Dworsky,1
dev15,who does the voice of nala in the lion king,Moira Kelly,1
dev15,who does the voice of nala in the lion king,Laura Williams,1
dev16,who plays gram on the young and the restless,Max Shippee,1
dev17,what is the oath that new citizens take,United States Oath of Allegiance,1
dev18,who is under the mask of darth vader,Anakin Skywalker,1
dev19,who had a baby at 100 in the bible,Sarah,1
dev19,who had a baby at 100 in the bible,Abraham,1
dev20,what age do you need to be to buy a bb gun,18,1
dev21,ethiopia flight 961 crashes in to the sea,23 November 1996,1
dev22,where was percy jackson and the olympians filmed,Vancouver,1
dev22,where was percy jackson and the olympians filmed,"Mission, British Columbia",1
dev23,how many seasons of vampire diaries r there,eight,1
dev23,how many seasons of vampire diaries r there,8,1
dev24,how many episodes are there in dragon ball z,291 episodes,1
dev24,how many episodes are there in dragon ball z,291,1
dev25,who plays auggie in the movie the wonder,Jacob Tremblay,1
dev26,when was the first australian prime minister elected,Sir Edmund Barton,1
dev26,when was the first australian prime minister elected,1901,1
dev27,who plays matthew on anne with an e,R. H. Thomson,1
dev28,who is the girl in green day 21 guns,Lisa Stelly,1
dev29,who plays joker in batman the dark knight,Ledger,1
dev30,when was the south asian association for regional co-operation (saarc) formed,December 1985,1
dev30,when was the south asian association for regional co-operation (saarc) formed,8 December 1985,1
dev31,when was the first hunger games book published,"September 14, 2008",1
dev31,when was the first hunger games book published,2008,1
dev32,who did bette midler portray in the rose,Mary Rose Foster,1
dev33,who is the lead singer of depeche mode,David Gahan,1
dev34,where did the butchers in the slaughterhouse cases live,New Orleans,1
dev35,who developed the concept of total quality management,W. Edwards Deming,1
dev36,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,1
dev36,who wrote cant get you out of my head lyrics,Rob Davis,1
dev36,who wrote cant get you out of my head lyrics,Cathy Dennis,1
dev37,where does no game no life anime end,the Elkia Federation,1
dev37,where does no game no life anime end,the sixth volume,1
dev38,when did taylor swift's first album release,"October 24, 2006",1
dev38,when did taylor swift's first album release,2005,1
dev39,what are the three fifty shades of grey books,Fifty Shades of Grey,1
dev39,what are the three fifty shades of grey books,Fifty Shades Darker,1
dev39,what are the three fifty shades of grey books,Fifty Shades Freed,1
dev40,who has the power (judicial) to make decisions in courts of law,judges,1
dev41,what are the ranks in the us navy,E-8s senior chief petty officer,1
dev41,what are the ranks in the us navy,E-9s master chief petty officer,1
dev42,i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,1
dev43,who is the coach for the ottawa senators,Guy Boucher,1
dev44,last episode of what happens to my family,53,1
dev45,when is the last time the vikings were in the nfc championship,1976,1
dev45,when is the last time the vikings were in the nfc championship,2017/18,1
dev46,what are the colors of the netherlands flag,blue,1
dev46,what are the colors of the netherlands flag,white,1
dev46,what are the colors of the netherlands flag,red,1
dev47,where is lord's prayer found in bible,in the Gospel of Luke,1
dev48,when was the last time oklahoma won a national championship in football,2003,1
dev48,when was the last time oklahoma won a national championship in football,2000,1
dev49,location of the ten commandments in the bible,Exodus,1
dev49,location of the ten commandments in the bible,Deuteronomy,1
dev50,where did the allies go after north africa,Italy,1
dev50,where did the allies go after north africa,the Italian Campaign,1
dev51,what is the meaning of veronica in english,she who brings victory,1
dev52,what is the name of the main artery which takes blood from the heart to the body,The aorta,1
dev52,what is the name of the main artery which takes blood from the heart to the body,aorta,1
dev53,who played solomon in little house on the prairie,Todd Bridges,1
dev54,who does eric end up with in that 70s show,Donna,1
dev55,an object that moves around an external axis is said to be,revolution or orbital revolution,1
dev55,an object that moves around an external axis is said to be,orbit,1
dev56,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,1
dev56,architectural elements forming rib vaults eg wells cathedral,barrel vaults,1
dev56,architectural elements forming rib vaults eg wells cathedral,two to three barrel vaults,1
dev57,who sang the song good morning good morning,Gene Kelly,1
dev57,who sang the song good morning good morning,Donald O'Connor,1
dev57,who sang the song good morning good morning,Judy Garland,1
dev57,who sang the song good morning good morning,Debbie Reynolds,1
dev57,who sang the song good morning good morning,Mickey Rooney,1
dev58,who wrote papa got a brand new bag,James Brown,1
dev59,where does a roadrunner live in the desert,mountainous shrubland,1
dev59,where does a roadrunner live in the desert,arid lowland,1
dev60,who wrote it's a long long way to pasadena,John Young,1
dev60,who wrote it's a long long way to pasadena,Harry Vanda,1
dev60,who wrote it's a long long way to pasadena,David Hemmings,1
dev60,who wrote it's a long long way to pasadena,George Young,1
dev61,what's the dog's name on tom and jerry,Spike,1
