id,question,answer,label
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,1
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,1
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,1
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,1
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",1
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,1
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,1
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",1
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,1
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,1
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,1
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,1
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,1
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",1
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,1
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,1
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,1
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,1
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,1
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,1
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,1
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,1
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,1
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,1
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",yes,1
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,1
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,1
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?",2000,1
5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",1
5ae0361155429925eb1afc2c,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,1
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,1
5a7cc50e554299452d57ba3e,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,1
5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,1
5a8ef2a75542995a26add583,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,1
5a80721b554299485f5985ef,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,1
5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,1
5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,1
5a7a0e1e5542990783324e1a,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,1
5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,1
5a79311755429970f5fffe67,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1
5ab2d3df554299194fa9352c,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,1
5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,1
5a7d54165542995f4f402256,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,1
5ab859a955429934fafe6d7b,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,1
5add61d65542995b365fab21,What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues,1
5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,1
5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,1
5a8e1027554299653c1aa15f,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,1
5ab84bf555429916710eb01f,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",1
5a77724455429972597f153e,What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway,1
5a87c13f5542996e4f30890c,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome,1
5ab96ab755429970cfb8eacd,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh",1
5a8a43eb5542996c9b8d5e82,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, South Australia",1
5ae73acb5542991e8301cc07,D1NZ is a series based on what oversteering technique?,Drifting,1
5a7320565542991f9a20c61d,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,1
5ae32e125542991a06ce9946,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124",1
5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,1
5a8b20335542996c9b8d5fb3,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association,1
5a85fb085542994775f606de,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,1
5a7be2595542997c3ec972ac,"Who was born earlier, Emma Bull or Virginia Woolf?",Adeline Virginia Woolf,1
5a77152355429966f1a36c2e,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,1
5a8f4c8d554299458435d5a3,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries,1
5a80840f554299485f59863b,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,1
5a8361b65542992ef85e22a0,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,1
5ae7ba7a5542993210983f12,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,1
5ac2acff55429921a00ab02b,who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,1
5aba7cfe554299232ef4a2fd,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,1
5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,1
