id,question,answer,label
0,Who scored the first touchdown of the game?,Chaz Schilens,1
0,Who scored the first touchdown of the game?,JaMarcus Russell,1
1,How many field goals did Kris Brown kick?,2,1
1,How many field goals did Kris Brown kick?,3,1
1,How many field goals did Kris Brown kick?,3,1
1,How many field goals did Kris Brown kick?,3,1
1,How many field goals did Kris Brown kick?,3,1
2,Which team won the game?,Raiders,1
2,Which team won the game?,Raiders,1
2,Which team won the game?,Raiders,1
2,Which team won the game?,the Raiders,1
2,Which team won the game?,the Raiders,1
3,How many field goals did both teams kick in the first half?,2,1
3,How many field goals did both teams kick in the first half?,2,1
3,How many field goals did both teams kick in the first half?,2,1
3,How many field goals did both teams kick in the first half?,2,1
3,How many field goals did both teams kick in the first half?,2,1
4,How many more yards was Kris Browns's first field goal over his second?,29,1
4,How many more yards was Kris Browns's first field goal over his second?,20,1
4,How many more yards was Kris Browns's first field goal over his second?,29,1
4,How many more yards was Kris Browns's first field goal over his second?,29,1
4,How many more yards was Kris Browns's first field goal over his second?,29,1
5,Who threw the longest pass?,JaMarcus Russell,1
5,Who threw the longest pass?,29,1
5,Who threw the longest pass?,Russell,1
5,Who threw the longest pass?,JaMarcus Russell,1
5,Who threw the longest pass?,Russell,1
6,How many yards was the longest touchdown of the game?,80-yard punt return,1
6,How many yards was the longest touchdown of the game?,80,1
6,How many yards was the longest touchdown of the game?,80,1
6,How many yards was the longest touchdown of the game?,80,1
6,How many yards was the longest touchdown of the game?,80,1
7,How many field goals did Sebastian Janikowski and Kris Brown both score each?,2,1
7,How many field goals did Sebastian Janikowski and Kris Brown both score each?,5,1
8,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?,3,1
8,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?,3,1
8,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?,3,1
8,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?,3,1
9,How many yards difference is there between Kris Brown's longest and shortest field goals?,29,1
9,How many yards difference is there between Kris Brown's longest and shortest field goals?,29,1
9,How many yards difference is there between Kris Brown's longest and shortest field goals?,29,1
9,How many yards difference is there between Kris Brown's longest and shortest field goals?,29,1
10,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?,51,1
10,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?,51,1
10,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?,51,1
10,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?,51,1
11,How many touchdowns were scored in the game?,4,1
11,How many touchdowns were scored in the game?,4,1
12,How many of the touchdowns were passing touchdowns?,2,1
12,How many of the touchdowns were passing touchdowns?,2,1
13,How many yards was the longest passing touchdown?,29,1
13,How many yards was the longest passing touchdown?,29,1
14,How many yards longer was the longest passing touchdown than the shortest?,9,1
14,How many yards longer was the longest passing touchdown than the shortest?,9,1
15,How many field goals were scored in the game?,5,1
15,How many field goals were scored in the game?,5,1
16,How many yards was the longest field goal in the game?,53,1
16,How many yards was the longest field goal in the game?,53,1
17,How many yards was the shortest field goal in the game?,24,1
17,How many yards was the shortest field goal in the game?,24,1
18,How many yards longer was the longest field goal than the shortest?,29,1
18,How many yards longer was the longest field goal than the shortest?,29,1
19,Which Bengals receiver scored two touchdowns?,Houshmandzadeh,1
19,Which Bengals receiver scored two touchdowns?,T. J. Houshmandzadeh,1
20,Who caught the last touchdown of the game?,Patrick Crayton,1
20,Who caught the last touchdown of the game?,Patrick Crayton,1
21,How many field goals did Shayne Graham kick in the first half?,2,1
21,How many field goals did Shayne Graham kick in the first half?,3,1
22,Which player had the longest rushing TD?,Terrell Owens,1
22,Which player had the longest rushing TD?,Felix Jones,1
23,What was the longest TD pass of the game?,57,1
23,What was the longest TD pass of the game?,57,1
24,How many second quarter field goals did the Bengals get?,2,1
24,How many second quarter field goals did the Bengals get?,2,1
25,Which team scored the final TD of the game?,Dallas,1
25,Which team scored the final TD of the game?,Dallas,1
26,How many touchdowns did T.J. Houshmandzadeh have?,2,1
26,How many touchdowns did T.J. Houshmandzadeh have?,2,1
27,How many touchdowns did Jones have?,1,1
27,How many touchdowns did Jones have?,1,1
28,How many passed did Houshmandzadeh catch?,2,1
28,How many passed did Houshmandzadeh catch?,2,1
29,How many touchdowns did Crayton have?,1,1
29,How many touchdowns did Crayton have?,1,1
30,How many wins did the Bengals have before this game?,0,1
30,How many wins did the Bengals have before this game?,0,1
30,How many wins did the Bengals have before this game?,0,1
31,How many points did Dallas score in the first quarter?,17,1
31,How many points did Dallas score in the first quarter?,10,1
32,How many field goals did the Bengals have in the first half?,2,1
32,How many field goals did the Bengals have in the first half?,2,1
33,Which team scored the least points?,Bengals,1
33,Which team scored the least points?,Cowboys,1
34,How many field goals were there in the fourth quarter?,1,1
34,How many field goals were there in the fourth quarter?,1,1
34,How many field goals were there in the fourth quarter?,1,1
34,How many field goals were there in the fourth quarter?,1,1
34,How many field goals were there in the fourth quarter?,1,1
35,How many touchdown passes did Tony Romo throw?,3,1
